date_dt,Day7_prediction,Day90_prediction,Day180_prediction,Day90,Day180,percentual_increase_7_to_90,absolute_error_90,percentual_error_90
2024-03-27,1285.0,2053.9941645299896,2252.9766289792756,2313.56,2401.16,0.8004357976653697,259.56583547001037,0.12637126236890073
2024-03-28,1360.1,2171.4561013028174,2374.567187554935,2111.87,2312.87,0.5527314168075877,59.5861013028175,0.027440619806712824
2024-03-29,820.2,1309.8885092165037,1432.8932208882109,1536.74,1733.34,0.8736161911728846,226.85149078349627,0.17318381617011447
2024-03-30,780.6,1249.0244012800881,1367.7254720484377,1443.06,1619.52,0.8486548808608761,194.03559871991183,0.15534972617112244
2024-03-31,877.1,1404.8553586819635,1538.405147829698,1909.29,2064.29,1.1768213430623646,504.4346413180365,0.3590651793443686
2024-04-01,848.8,1357.7311269935076,1485.9734449341554,1605.42,1620.42,0.8913996229971727,247.68887300649249,0.18242851480834973
2024-04-02,913.0,1461.4478670028782,1599.85974713725,1641.54,1656.54,0.7979627601314347,180.09213299712178,0.12322857151685665
2024-04-03,620.6,990.5231460206626,1083.3787059764359,805.46,788.46,0.29787302610377053,185.06314602066254,0.1868337421130814
2024-04-04,927.52,1482.671890656413,1621.048945531407,1299.94,1338.94,0.40152233914093505,182.73189065641304,0.12324499561093953
2024-04-05,936.64,1495.8442946786133,1633.3971479429106,1453.84,1503.84,0.5521865391185513,42.004294678613405,0.028080659750511102
2024-04-06,957.59,1530.7908606719145,1670.6076547973576,1645.23,1730.43,0.7180943827734207,114.4391393280855,0.07475818040738393
2024-04-07,1159.7,1855.455299468953,2024.2072571042947,2230.26,2362.96,0.9231352936104166,374.8047005310473,0.20200147135763366
2024-04-08,879.1,1405.795168037148,1533.6601558182251,1452.64,1549.64,0.6524172449095667,46.84483196285214,0.033322658256294616
2024-04-09,822.77,1314.5883129610238,1432.8171973381711,1434.25,1652.25,0.7431967621571035,119.6616870389762,0.09102597814021798
2024-04-10,542.82,869.312209702724,945.93216293879,751.42,789.42,0.3842894513835155,117.89220970272402,0.1356154996868608
2024-04-11,704.0,1127.921777496443,1227.5700622664117,1042.3,1144.3,0.48053977272727266,85.62177749644297,0.07591109525918609
2024-04-12,477.8,766.4047266086933,833.2835012827659,691.8,741.8,0.4478861448304729,74.60472660869334,0.09734377153285044
2024-04-13,620.6,1000.4620259758779,1086.843340254781,809.56,849.56,0.30447953593296795,190.9020259758779,0.19081386501368394
2024-04-14,582.0,936.8775465221454,1017.2998331298464,994.6,1132.6,0.7089347079037801,57.72245347785463,0.06161152403761895
2024-04-15,551.0,886.5640097667742,962.2079574689963,938.2,963.2,0.702722323049002,51.63599023322581,0.05824282247461132
2024-04-16,322.6,519.0544859225243,563.8557128573764,492.3,492.9,0.5260384376937383,26.75448592252434,0.051544657927333266
2024-04-17,575.4,923.9287438047998,1002.8517984444738,1190.32,1283.32,1.0686826555439695,266.3912561952002,0.2883244600640774
2024-04-18,512.84,822.4998019367418,892.4746851383812,742.94,773.84,0.448677950237891,79.55980193674179,0.09672926576930739
2024-04-19,682.15,1093.6171190490554,1185.1110662459675,1145.71,1185.71,0.6795572821227004,52.09288095094462,0.04763356392614035
2024-04-20,552.28,884.7460363517388,959.0722494087348,1418.29,1525.29,1.5680633012240168,533.5439636482612,0.603047588490293
2024-04-21,663.8,1062.3377570485532,1152.0451729956005,959.0,983.0,0.44471226272973796,103.33775704855316,0.0972739191118011
2024-04-22,700.0,1121.632145058742,1217.0912140453904,1089.48,1234.48,0.5564,32.15214505874201,0.028665498934196593
2024-04-23,912.0,1460.8857583929325,1584.0713049208557,1408.0,1481.0,0.543859649122807,52.88575839293253,0.03620115952879863
2024-04-24,756.3,1214.7616059268098,1316.8043352549223,1088.24,1090.24,0.43889990744413604,126.5216059268098,0.10415344484836542
2024-04-25,559.0,899.7659162636453,975.5323890762425,854.24,849.04,0.5281574239713774,45.525916263645286,0.05059751146464353
2024-04-26,585.0,942.040965464345,1021.3785336298922,875.7,911.7,0.496923076923077,66.340965464345,0.07042259083886508
2024-04-27,644.0,1037.7349512745004,1125.515066160939,944.7,1009.7,0.4669254658385094,93.03495127450037,0.08965193969831982
2024-04-28,647.0,1044.0774594530874,1132.9784974569288,886.34,912.08,0.3699227202472953,157.73745945308735,0.15107831131199212
2024-04-29,579.0,933.0543051136875,1011.4113756117548,1023.58,1056.58,0.7678411053540588,90.52569488631252,0.0970208211785513
2024-04-30,558.22,897.9628228312016,973.3069337168176,754.82,776.82,0.35219089247966756,143.14282283120156,0.15940840666419154
2024-05-01,617.4,991.3272050231199,1073.9394640540402,1194.18,1377.18,0.9342079689018467,202.8527949768802,0.20462748722017493
2024-05-02,469.0,753.4838435657964,816.0806965945465,875.7,923.4,0.8671641791044777,122.21615643420364,0.1622014293708361
2024-05-03,464.0,743.94163468607,805.6815182667194,731.0,753.0,0.5754310344827587,12.94163468606996,0.017396034961171515
2024-05-04,649.4,1037.1276098953624,1123.68565806077,1291.5,1382.8,0.9887588543270712,254.3723901046376,0.24526624079586662
2024-05-05,566.0,902.9144818309599,977.5609228736179,1018.0,1048.4,0.7985865724381626,115.08551816904014,0.1274600424346566
2024-05-06,474.0,758.4845940947328,820.9550156777257,645.0,636.5,0.36075949367088606,113.48459409473276,0.1496201702424543
2024-05-07,610.0,977.1228912727029,1057.5085389620115,905.0,1013.0,0.48360655737704916,72.12289127270287,0.07381148463195124
2024-05-08,421.0,674.4507024893835,729.7590899064388,628.02,633.02,0.4917339667458432,46.43070248938352,0.06884224794786152
2024-05-09,499.0,802.7221429736278,868.0405635235204,780.2,853.8,0.5635270541082166,22.52214297362775,0.028057209048944452
2024-05-10,596.0,960.0889141014483,1039.3057031789342,822.63,861.63,0.380251677852349,137.45891410144827,0.14317310832621863
2024-05-11,416.0,670.1862870807125,726.172600389518,497.0,471.0,0.19471153846153846,173.18628708071253,0.25841514578745056
2024-05-12,425.0,684.2847924238171,741.4086434972485,562.7,501.11,0.3240000000000001,121.58479242381702,0.1776815644158179
2024-05-13,283.0,454.80859514187966,492.4750307376155,590.85,564.59,1.087809187279152,136.04140485812036,0.2991179285336101
2024-05-14,423.0,676.9170892917839,732.5842284212968,744.0,799.38,0.7588652482269503,67.0829107082161,0.09910063103651404
2024-05-15,480.92,768.7662774036673,831.8586633046575,747.22,880.22,0.5537303501621892,21.546277403667318,0.02802708448195068
2024-05-16,276.1,440.52725690221774,476.31904436813875,676.1,709.2,1.4487504527345163,235.57274309778228,0.5347517989109843
2024-05-17,448.0,713.6931827710047,771.0439743746912,748.6,871.6,0.6709821428571429,34.90681722899535,0.04891011722077152
2024-05-18,474.0,755.7052376720354,816.9042695077421,787.5,860.2,0.6613924050632911,31.794762327964577,0.04207296806081291
2024-05-19,459.5,734.5485784641289,793.4984287548547,611.2,599.66,0.33014145810663775,123.34857846412888,0.1679243307801902
2024-05-20,239.8,382.86403195812295,413.28849767197585,179.49,193.49,-0.25150125104253546,203.37403195812294,0.5311912715278715
2024-05-21,457.0,729.7014455323952,787.0596519864154,647.32,635.32,0.4164551422319476,82.3814455323951,0.11289746791208428
2024-05-22,393.58,629.5916136026391,679.5164143369841,507.63,529.73,0.2897759032471163,121.96161360263909,0.19371543547848785
2024-05-23,428.0,686.1615260747624,740.8354772497199,630.92,626.92,0.4741121495327102,55.24152607476242,0.0805080494541506
2024-05-24,571.8,919.5257660511033,992.1633629521997,843.8,914.8,0.47569080097936345,75.72576605110339,0.08235306594649015
2024-05-25,472.0,758.3449486919785,817.8781489891787,709.4,768.4,0.5029661016949152,48.94494869197854,0.06454180089997381
2024-05-26,552.0,888.8083257537771,958.5102287285332,1049.7,1083.7,0.9016304347826087,160.89167424622292,0.181019539966364
2024-05-27,697.6,1121.110617154201,1208.400683169986,969.4,995.5,0.38962155963302747,151.71061715420103,0.1353217201165211
2024-05-28,646.0,1039.2378541556777,1119.9965739713834,1003.0,1115.0,0.5526315789473685,36.237854155677724,0.03486964414428393
2024-05-29,599.02,963.6713166035587,1037.5289847686306,970.02,1009.02,0.619344930052419,6.348683396441288,0.006588017394579204
2024-05-30,551.2,888.4557341984292,957.9483496992848,1070.2,1079.2,0.9415820029027575,181.7442658015708,0.20456198188145153
2024-05-31,529.0,853.2375626525503,920.3749857733648,1118.05,1217.55,1.11351606805293,264.81243734744965,0.3103619073264884
2024-06-01,542.0,874.5634179296687,944.0751895543073,906.2,896.2,0.6719557195571957,31.636582070331315,0.03617414291718692
2024-06-02,548.0,884.2422805693633,954.0975359085389,986.0,1120.0,0.7992700729927007,101.75771943063671,0.11507900229009062
2024-06-03,503.5,811.0043330184501,874.949289512572,615.8,660.8,0.2230387288977159,195.20433301845014,0.24069456237295997
2024-06-04,535.0,860.5214157996908,928.099417420499,985.32,1079.92,0.8417196261682244,124.79858420030928,0.14502670347179306
2024-06-05,413.0,665.1850159029827,716.8920637801924,551.0,561.0,0.3341404358353511,114.18501590298274,0.1716590319581652
2024-06-06,390.0,636.784628673106,686.6271540010351,678.92,763.22,0.7408205128205128,42.13537132689396,0.0661689516826013
2024-06-07,408.0,665.0805985278831,716.7159711438885,543.0,624.0,0.33088235294117646,122.08059852788313,0.18355760008351074
2024-06-08,449.5,732.2027163783522,788.9639797764897,597.92,602.22,0.33018909899888754,134.28271637835223,0.18339554521532822
2024-06-09,553.0,901.921557908,970.0194380114079,795.9,864.9,0.4392405063291139,106.02155790799998,0.11755075258863548
2024-06-10,365.0,597.454781795657,642.7311044468491,496.84,516.84,0.3612054794520547,100.61478179565705,0.1684056850181334
2024-06-11,429.0,700.5460978790586,753.019017263884,538.0,569.0,0.2540792540792541,162.5460978790586,0.23202769720818622
2024-06-12,427.0,698.465061143166,749.579646054789,658.0,716.0,0.5409836065573771,40.465061143166054,0.057934266714698035
2024-06-13,293.0,479.39641644375826,514.5218313158693,1274.4,1175.52,3.3494880546075088,795.0035835562419,1.6583427749704716
2024-06-14,188.0,307.9528416425988,330.4872490990339,224.02,232.62,0.1915957446808511,83.93284164259879,0.2725509568117862
2024-06-15,404.0,660.4282452979014,708.0706727858148,570.4,633.2,0.4118811881188118,90.02824529790144,0.1363179814595787
2024-06-16,228.0,371.8286866091564,398.64354202745443,429.0,447.6,0.881578947368421,57.17131339084358,0.15375713453475032
2024-06-17,336.0,549.568103694864,588.8044774732518,841.0,924.0,1.5029761904761905,291.431896305136,0.5302925958507725
2024-06-18,290.0,474.654043804662,507.8654156310269,375.6,334.7,0.29517241379310355,99.054043804662,0.20868682169160338
2024-06-19,347.5,569.586871471154,609.2861728258034,510.92,434.02,0.4702733812949641,58.666871471154025,0.10299898823093771
2024-06-20,358.0,587.7538604272113,628.187330789409,537.2,552.2,0.5005586592178772,50.55386042721125,0.08601195811877095
2024-06-21,487.0,802.5895495603028,856.9877633685309,630.0,655.0,0.2936344969199179,172.58954956030277,0.21504086323433397
2024-06-22,433.0,711.7702817231001,758.8107961618496,580.9,530.0,0.34157043879907617,130.8702817231001,0.18386589758465438
2024-06-23,389.0,639.4591458878731,682.0583381074435,476.38,569.28,0.22462724935732648,163.0791458878731,0.25502668456081234
2024-06-24,349.0,572.8934545007932,610.6700289061507,763.3,233.7,1.187106017191977,190.4065454992068,0.3323594361278275
2024-06-25,302.0,495.62889666460933,527.9199516611432,466.6,541.6,0.5450331125827815,29.028896664609306,0.058569822825026034
2024-06-26,328.0,537.252012935552,572.2411762106007,578.0,635.0,0.7621951219512195,40.74798706444801,0.07584520128980156
2024-06-27,404.0,659.6709188325952,701.6763939557605,715.08,745.08,0.7700000000000001,55.40908116740479,0.0839950338654628
2024-06-28,165.56,271.06193992413705,288.1983246838843,365.56,423.56,1.2080212611741967,94.49806007586295,0.34862164751831415
2024-06-29,200.0,327.8103959466229,348.77316902594714,265.4,283.4,0.3269999999999999,62.41039594662294,0.19038565194492846
2024-06-30,435.0,713.6122883542173,759.3339966947809,558.12,604.04,0.2830344827586207,155.4922883542173,0.21789463395147596
2024-07-01,732.8,1205.2357243858055,1282.6236625006231,1043.5,1069.8,0.4239901746724892,161.7357243858055,0.13419426682546012
2024-07-02,545.0,895.2407879321763,951.6496127181005,729.7,796.1,0.3388990825688074,165.54078793217627,0.18491202608690532
2024-07-03,260.0,425.43430687591444,452.0637614096748,323.0,292.4,0.2423076923076923,102.43430687591444,0.24077585004396754
2024-07-04,500.0,817.7359547337031,868.9578100013782,525.74,529.13,0.05148000000000002,291.9959547337031,0.357078532554915
2024-07-05,429.0,700.7124179199126,744.239350631563,650.0,686.44,0.5151515151515151,50.71241791991258,0.07237265477676852
2024-07-06,212.2,347.8156677274316,369.2605785225628,401.3,438.68,0.8911404335532518,53.484332272568395,0.15377206156935344
