,date,platform,marketing_channel,campaign_id,source_country,countries,total_impressions,total_clicks,total_app_installs,total_conversions,total_marketing_spend,total_revenue,ROAS,CPA,CPI,CPM,CR,CTR,platform_campaign
48,2023-11-03,iOS,Channel B,6492364605815,DE,DE,117911,290,0,0,567.76,0.0,0.0,,,4.815157194833391,0.0,0.24594821517924534,Channel B - iOS - DE - 6492364605815
49,2023-11-03,iOS,Channel B,6519038436815,DE,DE,99625,373,54,2,565.73,117.3,0.20734272532833684,282.865,10.476481481481482,5.678594730238395,0.5361930294906166,0.37440401505646176,Channel B - iOS - DE - 6519038436815
50,2023-11-03,ios,Channel A,20367976937,US,US,161422,235,57,0,455.68,0.0,0.0,,7.994385964912281,2.8229113751533252,0.0,0.14558114755113924,Channel A - ios - US - 20367976937
51,2023-11-03,ios,Channel C,1023570237,DE,DE,306,21,10,1,28.64,50.42,1.7604748603351956,28.64,2.864,93.59477124183006,4.761904761904762,6.862745098039216,Channel C - ios - DE - 1023570237
52,2023-11-03,ios,Channel C,1023585396,US,US,1771,143,64,4,309.7,112.71,0.3639328382305457,77.425,4.8390625,174.8729531338227,2.797202797202797,8.074534161490684,Channel C - ios - US - 1023585396
53,2023-11-03,ios,Channel C,1023655231,US,US,215,73,31,7,95.42,206.63,2.1654789352337036,13.631428571428572,3.0780645161290323,443.8139534883721,9.58904109589041,33.95348837209302,Channel C - ios - US - 1023655231
54,2023-11-03,ios,Channel C,1023678230,DE,DE,107,29,20,1,42.53,24.99,0.5875852339525041,42.53,2.1265,397.4766355140187,3.4482758620689653,27.102803738317753,Channel C - ios - DE - 1023678230
55,2023-11-03,ios,Channel C,1023835841,DE,DE,1347,668,426,59,536.09,1824.67,3.4036635639538138,9.086271186440678,1.2584272300469483,397.98812175204165,8.832335329341317,49.5916852264291,Channel C - ios - DE - 1023835841
56,2023-11-03,ios,Channel C,1256454484,US,US,534,26,9,0,35.27,0.0,0.0,,3.918888888888889,66.04868913857678,0.0,4.868913857677903,Channel C - ios - US - 1256454484
57,2023-11-03,ios,Channel C,1410804754,US,US,85,9,2,0,24.65,0.0,0.0,,12.325,290.0,0.0,10.588235294117647,Channel C - ios - US - 1410804754
58,2023-11-03,ios,Channel C,1411644825,US,US,13,11,2,0,21.41,0.0,0.0,,10.705,1646.923076923077,0.0,84.61538461538461,Channel C - ios - US - 1411644825
59,2023-11-03,ios,Channel C,1412537821,DE,DE,1453,379,250,24,677.96,803.47,1.1851289161602454,28.248333333333335,2.71184,466.59325533379223,6.33245382585752,26.083964211975225,Channel C - ios - DE - 1412537821
60,2023-11-04,android,Channel A,12804450204,DE,DE,2967,325,0,0,98.87,0.0,0.0,,,33.323222109875296,0.0,10.953825412874957,Channel A - android - DE - 12804450204
61,2023-11-04,android,Channel A,13570876685,DE,DE,61194,1277,616,54,1181.81,1508.57,1.2764911449386958,21.88537037037037,1.9185227272727272,19.312514298787463,4.22866092404072,2.086805896002876,Channel A - android - DE - 13570876685
62,2023-11-04,android,Channel B,6154573222815,DE,DE,852,3,2,0,18.59,0.0,0.0,,9.295,21.81924882629108,0.0,0.35211267605633806,Channel B - android - DE - 6154573222815
63,2023-11-04,android,Channel B,6318246682215,US,US,3224,19,15,0,48.4,0.0,0.0,,3.2266666666666666,15.012406947890819,0.0,0.5893300248138957,Channel B - android - US - 6318246682215
