date_dt,cost_sum_amount,day7_prediction,day90_prediction,day180_prediction,recycle_worths_90day,recycle_worths_180day,percentual_increase_14_to_90,day7_data,error_90,absolute_error_90,percentual_error_90
2023-10-29,19831.79,0.2947,14881.748225122694,284802095.9363333,14071.0736,17818.2174,0.8200130464413136,5844.428513000001,284788024.8627333,810.6746251226941,0.054474421476513754
2023-10-30,17851.02,0.3452,15672.50914002468,269978314.51495665,17406.3562,21281.4257,1.0329637045853277,6162.172104,269960908.1587567,1733.8470599753182,0.11062983243362064
2023-10-31,19938.79,0.2883,14576.257529484432,280460785.0409881,15091.4587,17101.1641,0.8468224513771246,5748.3531570000005,280445693.5822881,515.2011705155674,0.03534522969791343
2023-11-01,16954.59,0.3367,14446.106326941224,236355336.5242551,18969.0048,24006.8583,1.5745428362138802,5708.610453,236336367.5194551,4522.8984730587745,0.31308771863486895
2023-11-02,15241.07,0.3674,14144.605553889389,208033661.05129436,18064.9356,26081.4932,1.5041407671189855,5599.569118,208015596.11569434,3920.330046110612,0.277160789756532
2023-11-03,15917.46,0.3387,13602.404484688861,208937678.7637456,12647.5527,15122.2278,0.9318745586187183,5391.243702,208925031.2110456,954.8517846888608,0.07019727914749639
2023-11-04,16655.62,0.3141,13172.780611330352,211721799.21848702,11345.4513,13396.0597,0.7247156407441502,5231.530242,211710453.76718703,1827.3293113303516,0.13872008995265617
2023-11-05,19496.99,0.2973,14582.32016740986,274360453.2139608,12051.518,17297.853199999998,0.5534209270743982,5796.455127000001,274348401.6959608,2530.80216740986,0.1735527774973676
2023-11-06,25319.78,0.3068,19585.387833701527,478541291.2732592,18358.993599999998,20756.0524,0.7516981550239188,7768.108504,478522932.2796592,1226.3942337015287,0.06261781712543944
2023-11-07,20497.57,0.291,15024.977094763002,297196376.5571107,17096.0589,25249.8253,1.2324273343227574,5964.792869999999,297179280.4982107,2071.0818052369978,0.13784259318164813
2023-11-08,17884.46,0.3722,16757.979761974082,289217659.07815075,16140.144300000002,18404.8621,0.886433785965477,6656.596011999999,289201518.93385077,617.8354619740803,0.036868135106358405
2023-11-09,20963.83,0.2732,14354.233965787476,290387530.4166297,12979.393699999999,19530.7701,0.8231985005697198,5727.318356000001,290374551.02292967,1374.8402657874776,0.0957794243192868
2023-11-10,17285.49,0.3626,15719.586307195224,262210525.60005942,14872.2387,18854.5222,0.791360759366741,6267.718674000001,262195653.36135942,847.3476071952246,0.0539039380958374
2023-11-11,17549.94,0.3496,15358.354178907846,260104357.53673154,15069.5082,17200.9189,0.8737867798300051,6135.459024,260089288.02853155,288.8459789078461,0.01880709192815257
2023-11-12,21655.83,0.3273,17704.89795114308,369994761.09039724,17436.1807,20177.9107,0.9652190379376444,7087.953159,369977324.90969723,268.7172511430799,0.015177565659209616
2023-11-13,21041.3,0.2703,14155.15669392929,287418397.09493524,14251.430199999999,16944.8574,0.986469278363046,5687.46339,287404145.66473526,96.27350607070912,0.006801302744461872
2023-11-14,18114.1,0.2625,11839.423715527731,206954387.44605044,12408.0707,17700.2405,1.0162240602341883,4754.95125,206941979.37535045,568.6469844722687,0.04802995467815486
2023-11-15,18916.19,0.219,10312.24660899532,188241021.61621976,10910.168899999999,13382.4605,1.1773275300902604,4142.64561,188230111.44731975,597.9222910046792,0.05798176805460749
2023-11-16,18484.73,0.3023,13866.793466391216,247352595.53028548,13927.1918,16757.4287,0.9703731657404094,5587.933879,247338668.33848548,60.398333608784014,0.0043556092297163534
2023-11-17,19077.73,0.2936,13848.515287557366,254951297.31240055,15355.2649,17770.597899999997,1.024717517551117,5601.221528,254935942.04750055,1506.7496124426343,0.108802249277684
2023-11-18,21542.53,0.2585,13750.584277393935,285854591.21232206,16050.8273,19802.3383,1.144533392491792,5568.744005,285838540.38502204,2300.243022606066,0.16728329329159367
2023-11-19,22971.74,0.2707,15289.710549395202,338938161.476405,15752.694599999999,20008.7779,0.9664975867899134,6218.4500180000005,338922408.78180504,462.9840506047967,0.0302807596722693
2023-11-20,18802.84,0.2616,12032.94006962317,218334576.21865836,13774.42,16701.391,1.1482628274977429,4918.8229440000005,218320801.79865837,1741.4799303768305,0.14472605367437583
2023-11-21,19981.85,0.2919,14250.273130723843,274780681.4516538,16712.8445,19363.4456,1.2378895812623654,5832.702015,274763968.6071538,2462.5713692761565,0.17280871367769146
